[0x00000a70] | Fusion               | INFO  | 2022-08-03 11:34:08,806 | Module Handle 00000287B2130000 paint.plugin
[0x00000a78] | Fusion               | INFO  | 2022-08-03 11:34:08,812 | Module Handle 00000287B21A0000 particles.plugin
[0x00007978] | Fusion               | INFO  | 2022-08-03 11:34:08,819 | Module Handle 00000287B2280000 text.plugin
[0x000079a4] | Fusion               | INFO  | 2022-08-03 11:34:08,825 | Module Handle 00000287B24B0000 utilities.plugin
[0x0000525c] | BtCommon             | INFO  | 2022-08-03 11:34:09,600 | Memory config: reserved=24542M pinned=4000M log=0
[0x0000525c] | BtCommon             | INFO  | 2022-08-03 11:34:09,600 | Using default pooled memory manager
[0x00008068] | LeManager            | INFO  | 2022-08-03 11:34:09,600 | 521, 29
[0x0000806c] | BtCommon             | INFO  | 2022-08-03 11:34:09,600 | BtResourceManager Process Thread Started
[0x0000525c] | IO                   | INFO  | 2022-08-03 11:34:09,715 | WMF encoder cnt for SW (hvc1) is (1)
[0x0000525c] | IO                   | INFO  | 2022-08-03 11:34:09,743 | WMF encoder cnt for HW (hvc1) is (3)
[0x0000525c] | IO                   | INFO  | 2022-08-03 11:34:09,743 | Setting codec capacity (0)
[0x0000525c] | SyManager            | INFO  | 2022-08-03 11:34:09,744 | Total: 20, NumDtThreads: 8, NumComms: 0, NumSites: 1

[0x0000525c] | SyManager            | INFO  | 2022-08-03 11:34:09,744 | Lookaheads -> playback = 20, record = 20, stop = 2

[0x000080d0] | GsManager            | INFO  | 2022-08-03 11:34:09,747 | Gs Processor Thread ----- (32976)

[0x0000525c] | DtManager            | INFO  | 2022-08-03 11:34:09,747 | Using 8 generic IO threads
[0x0000525c] | DtManager            | INFO  | 2022-08-03 11:34:09,748 | Total of 40 IO threads (including 8 generic and 32 Red decode threads)
[0x000080e4] | DtManager            | INFO  | 2022-08-03 11:34:09,748 | Dt Data Handler Thread Started
[0x000080e8] | DtManager            | INFO  | 2022-08-03 11:34:09,748 | Dt Worker Thread Started
[0x000080ec] | DtManager            | INFO  | 2022-08-03 11:34:09,748 | Dt Worker Thread Started
[0x000080f0] | DtManager            | INFO  | 2022-08-03 11:34:09,748 | Dt Worker Thread Started
[0x000080f4] | DtManager            | INFO  | 2022-08-03 11:34:09,749 | Dt Worker Thread Started
[0x000080f8] | DtManager            | INFO  | 2022-08-03 11:34:09,749 | Dt Worker Thread Started
[0x000080fc] | DtManager            | INFO  | 2022-08-03 11:34:09,749 | Dt Worker Thread Started
[0x00008100] | DtManager            | INFO  | 2022-08-03 11:34:09,749 | Dt Worker Thread Started
[0x00008104] | DtManager            | INFO  | 2022-08-03 11:34:09,749 | Dt Worker Thread Started
[0x00008108] | DtManager            | INFO  | 2022-08-03 11:34:09,750 | Dt Worker Thread Started
[0x0000810c] | DtManager            | INFO  | 2022-08-03 11:34:09,750 | Dt Worker Thread Started
[0x00008110] | DtManager            | INFO  | 2022-08-03 11:34:09,750 | Dt Worker Thread Started
[0x00008114] | DtManager            | INFO  | 2022-08-03 11:34:09,750 | Dt Worker Thread Started
[0x00008118] | DtManager            | INFO  | 2022-08-03 11:34:09,750 | Dt Worker Thread Started
[0x0000811c] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x00008120] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x00008124] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x00008128] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x0000812c] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x00008130] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x00008134] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x00008138] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x0000813c] | DtManager            | INFO  | 2022-08-03 11:34:09,751 | Dt Worker Thread Started
[0x00008140] | DtManager            | INFO  | 2022-08-03 11:34:09,752 | Dt Worker Thread Started
